Profile	Education	Gender	Country of Origin	Reason for Application	Job	Job Experience	Job Plans	Prior Entry	Language Skills
756	two-year college	male	Philippines	reunite with family	janitor	1-2 years	interviews with employer	once as tourist	used interpreter
757	college degree	male	Mexico	seek better job	financial analyst	none	interviews with employer	once w/o authorization	broken English
758	college degree	male	Sudan	seek better job	computer programmer	none	contract with employer	once as tourist	tried English but unable
759	graduate degree	male	Sudan	seek better job	janitor	5+ years	contract with employer	once as tourist	tried English but unable
760	4th grade	male	Germany	seek better job	waiter	5+ years	contract with employer	once w/o authorization	tried English but unable
761	graduate degree	male	Sudan	seek better job	waiter	5+ years	will look for work	never	fluent English
762	4th grade	female	Sudan	reunite with family	construction worker	3-5 years	interviews with employer	once w/o authorization	tried English but unable
763	no formal	male	Philippines	reunite with family	janitor	5+ years	will look for work	never	fluent English
764	two-year college	male	Sudan	reunite with family	child care provider	none	contract with employer	never	used interpreter
765	no formal	female	Philippines	reunite with family	nurse	5+ years	contract with employer	many times as tourist	used interpreter
766	college degree	male	Iraq	seek better job	financial analyst	5+ years	no plans to look for work	many times as tourist	tried English but unable
767	graduate degree	female	Germany	reunite with family	teacher	3-5 years	will look for work	never	fluent English
768	college degree	male	China	reunite with family	child care provider	3-5 years	interviews with employer	many times as tourist	used interpreter
769	8th grade	female	Philippines	seek better job	gardener	none	no plans to look for work	once w/o authorization	used interpreter
770	no formal	female	Poland	reunite with family	construction worker	3-5 years	will look for work	once as tourist	tried English but unable
771	graduate degree	male	India	seek better job	child care provider	3-5 years	no plans to look for work	many times as tourist	broken English
772	no formal	female	Mexico	seek better job	gardener	5+ years	will look for work	never	fluent English
773	two-year college	female	Poland	reunite with family	teacher	3-5 years	will look for work	never	tried English but unable
774	8th grade	female	India	seek better job	child care provider	3-5 years	contract with employer	six months with family	broken English
775	4th grade	male	Germany	seek better job	construction worker	5+ years	no plans to look for work	never	fluent English
776	graduate degree	male	Poland	reunite with family	construction worker	3-5 years	contract with employer	once w/o authorization	broken English
777	college degree	female	Philippines	reunite with family	janitor	1-2 years	interviews with employer	six months with family	broken English
778	high school	male	Iraq	escape persecution	nurse	5+ years	will look for work	never	tried English but unable
779	no formal	male	France	reunite with family	construction worker	1-2 years	interviews with employer	once as tourist	broken English
780	high school	male	Iraq	reunite with family	child care provider	5+ years	no plans to look for work	once as tourist	used interpreter
781	4th grade	male	Mexico	seek better job	gardener	none	interviews with employer	six months with family	used interpreter
782	graduate degree	female	Sudan	escape persecution	gardener	3-5 years	interviews with employer	never	used interpreter
783	college degree	female	Germany	seek better job	computer programmer	3-5 years	no plans to look for work	never	tried English but unable
784	4th grade	male	Philippines	seek better job	construction worker	3-5 years	interviews with employer	once as tourist	tried English but unable
785	two-year college	female	France	seek better job	research scientist	5+ years	contract with employer	never	broken English
786	two-year college	female	Poland	reunite with family	research scientist	1-2 years	contract with employer	never	used interpreter
787	college degree	male	Sudan	reunite with family	waiter	none	will look for work	never	tried English but unable
788	no formal	male	Somalia	reunite with family	construction worker	none	interviews with employer	once as tourist	tried English but unable
789	4th grade	male	Germany	reunite with family	waiter	5+ years	contract with employer	once w/o authorization	tried English but unable
790	college degree	female	France	seek better job	research scientist	5+ years	interviews with employer	once as tourist	broken English
791	4th grade	female	Poland	seek better job	waiter	5+ years	no plans to look for work	never	fluent English
792	graduate degree	female	Poland	seek better job	doctor	1-2 years	interviews with employer	once w/o authorization	used interpreter
793	high school	male	France	reunite with family	waiter	1-2 years	will look for work	once w/o authorization	fluent English
794	graduate degree	male	Philippines	seek better job	construction worker	none	will look for work	once w/o authorization	fluent English
795	8th grade	female	France	seek better job	janitor	1-2 years	no plans to look for work	once w/o authorization	broken English
796	two-year college	female	India	reunite with family	financial analyst	1-2 years	interviews with employer	six months with family	tried English but unable
